miner,deadline-partition,29+3 path,29+3 md5,8+2 path,8+2 md5
f01372912,6-4,/mnt/sealed/mainnet/storage/f01372912/1/sealed/s-t01372912-458202,a94dc97cca36f3029d9dc7dd79d2d619,/mnt/sealed/mainnet/storage/f01372912/1/sealed/.snapshot/1646625612/s-t01372912-458202,a94dc97cca36f3029d9dc7dd79d2d619
f01372912,6-4,/mnt/sealed/mainnet/storage/f01372912/1/sealed/s-t01372912-464479,7cae1020a2624224d28befff0147ddde,/mnt/sealed/mainnet/storage/f01372912/1/sealed/.snapshot/1646625612/s-t01372912-464479,7cae1020a2624224d28befff0147ddde
f01372912,6-4,/mnt/sealed/mainnet/storage/f01372912/1/sealed/s-t01372912-462994,78ba899c567626d2d70422394f79d0a8,/mnt/sealed/mainnet/storage/f01372912/1/sealed/.snapshot/1646625612/s-t01372912-462994,78ba899c567626d2d70422394f79d0a8
f01372912,6-4,/mnt/sealed/mainnet/storage/f01372912/1/sealed/s-t01372912-462277,9bb9ba9f8a6f821e7d9323a387743a3c,/mnt/sealed/mainnet/storage/f01372912/1/sealed/.snapshot/1646625612/s-t01372912-462277,9bb9ba9f8a6f821e7d9323a387743a3c
f01372912,6-4,/mnt/sealed/mainnet/storage/f01372912/1/sealed/s-t01372912-465990,9db87e7f7a5200356ec09849bca0dbf2,/mnt/sealed/mainnet/storage/f01372912/1/sealed/.snapshot/1646625612/s-t01372912-465990,9db87e7f7a5200356ec09849bca0dbf2
f01372912,6-4,/mnt/sealed/mainnet/storage/f01372912/1/sealed/s-t01372912-466775,d40738ef4e0dac94373e310c627de5b7,/mnt/sealed/mainnet/storage/f01372912/1/sealed/.snapshot/1646625612/s-t01372912-466775,d40738ef4e0dac94373e310c627de5b7
f01372912,6-4,/mnt/sealed/mainnet/storage/f01372912/1/sealed/s-t01372912-466408,239503804ef55b0f658d215571b8b8ef,/mnt/sealed/mainnet/storage/f01372912/1/sealed/.snapshot/1646625612/s-t01372912-466408,239503804ef55b0f658d215571b8b8ef
f01372912,6-4,/mnt/sealed/mainnet/storage/f01372912/1/sealed/s-t01372912-465055,f5387a996ce6dc7fffc7ea27a25ce689,/mnt/sealed/mainnet/storage/f01372912/1/sealed/.snapshot/1646625612/s-t01372912-465055,f5387a996ce6dc7fffc7ea27a25ce689
f01372912,6-4,/mnt/sealed/mainnet/storage/f01372912/1/sealed/s-t01372912-469485,597de27c6aac9a0a2ee7a7c86009f38e,/mnt/sealed/mainnet/storage/f01372912/1/sealed/.snapshot/1646625612/s-t01372912-469485,597de27c6aac9a0a2ee7a7c86009f38e
f01372912,6-4,/mnt/sealed/mainnet/storage/f01372912/1/sealed/s-t01372912-467068,f2cdb0b959215bb31bb69b06a075783c,/mnt/sealed/mainnet/storage/f01372912/1/sealed/.snapshot/1646625612/s-t01372912-467068,f2cdb0b959215bb31bb69b06a075783c
