miner,deadline-partition,29+3 path,29+3 md5,8+2 path,8+2 md5
f01479781,,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-82702,d47a68868330cef14e6debeaa8bdf837,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646993330/s-t01479781-82702,d47a68868330cef14e6debeaa8bdf837
f01479781,33-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-84284,e5cb1037d3b1e95cb00118f3a931edf4,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646993330/s-t01479781-84284,e5cb1037d3b1e95cb00118f3a931edf4
f01479781,33-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-84920,563e51c58dc9ba78e0ea7c1a418406e5,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646993330/s-t01479781-84920,563e51c58dc9ba78e0ea7c1a418406e5
f01479781,,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-83312,a7a903b792dd59345587fa3a90bfc761,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646993330/s-t01479781-83312,a7a903b792dd59345587fa3a90bfc761
f01479781,33-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-84624,e2f01770627c7c36822adaa3d122e519,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646993330/s-t01479781-84624,e2f01770627c7c36822adaa3d122e519
f01479781,33-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-83865,f03922cd0c324095e84c5851ebcbee24,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646993330/s-t01479781-83865,f03922cd0c324095e84c5851ebcbee24
f01479781,33-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-85202,e3e651c92d42fc72419f7a889a14f5b1,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646993330/s-t01479781-85202,e3e651c92d42fc72419f7a889a14f5b1
f01479781,,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-85545,63e2d586ec86acc45780899aca8a0129,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646993330/s-t01479781-85545,63e2d586ec86acc45780899aca8a0129
f01479781,,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-85370,3bf3641f80a7d98161094baf2098330d,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646993330/s-t01479781-85370,3bf3641f80a7d98161094baf2098330d
f01479781,33-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-85918,db6c79aebcf8062c94354a900ffbab4c,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646993330/s-t01479781-85918,db6c79aebcf8062c94354a900ffbab4c
