miner,deadline-partition,29+3 path,29+3 md5,8+2 path,8+2 md5
f01479781,29-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-72586,9bbc4d601e7845f6d5ab73b3513a4784,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646639551/s-t01479781-72586,9bbc4d601e7845f6d5ab73b3513a4784
f01479781,29-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-73282,d89ab7ca70944dac8197d0946c2c87cd,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646639551/s-t01479781-73282,d89ab7ca70944dac8197d0946c2c87cd
f01479781,29-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-74941,cd01489f7b2b19ca5589dbba3be33659,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646639551/s-t01479781-74941,cd01489f7b2b19ca5589dbba3be33659
f01479781,29-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-73822,5cdcde7e04d3e5820bbca2a1fed1d134,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646639551/s-t01479781-73822,5cdcde7e04d3e5820bbca2a1fed1d134
f01479781,29-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-74209,4104c7fb096363e4a93bc3230197fc3d,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646639551/s-t01479781-74209,4104c7fb096363e4a93bc3230197fc3d
f01479781,29-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-75260,d614868c6a64f92ea0422e65e55d08a3,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646639551/s-t01479781-75260,d614868c6a64f92ea0422e65e55d08a3
f01479781,29-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-74619,62dfee6f64d5b58fe67d7b2637f2af8e,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646639551/s-t01479781-74619,62dfee6f64d5b58fe67d7b2637f2af8e
f01479781,29-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-76022,7abb6d35d8d2ab0c654b0ef0ded650ed,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646639551/s-t01479781-76022,7abb6d35d8d2ab0c654b0ef0ded650ed
f01479781,29-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-75538,c24b37bce19031c9ea96b9fec28eb54d,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646639551/s-t01479781-75538,c24b37bce19031c9ea96b9fec28eb54d
f01479781,29-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-75798,6a23c64d0dbc093f39c2bbc97e9efe3d,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646639551/s-t01479781-75798,6a23c64d0dbc093f39c2bbc97e9efe3d
f01479781,29-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-76848,40ed38480e73d138983c858453b2763a,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646639551/s-t01479781-76848,40ed38480e73d138983c858453b2763a
f01479781,29-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-76241,35e00ce67fb8285a60b362a8cd5da63a,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646639551/s-t01479781-76241,35e00ce67fb8285a60b362a8cd5da63a
f01479781,29-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-76445,6c99de519d63cabdd49e58992bd7fe83,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646639551/s-t01479781-76445,6c99de519d63cabdd49e58992bd7fe83
f01479781,29-0,/mnt/sealed/mainnet/storage/f01479781/0/sealed/s-t01479781-77331,2a2e00d21bf4aa3006ad6f242ff66e9b,/mnt/sealed/mainnet/storage/f01479781/0/sealed/.snapshot/1646639551/s-t01479781-77331,2a2e00d21bf4aa3006ad6f242ff66e9b
